Gene	GSM1304836	GSM1304837	GSM1304838	GSM1304839	GSM1304840	GSM1304841	GSM1304842	GSM1304843	GSM1304844	GSM1304845	GSM1304846	GSM1304847	GSM1304848	GSM1304849	GSM1304850	GSM1304851
Cox6a1	25216.7	23817.7	24567.6	26409.0	25815.6	24626.9	23621.3	27992.5	23803.9	25799.4	26410.7	24985.8	27685.3	26546.9	26087.1	26575.3
Cox6a1 	10507.3	9702.57	9717.65	9866.4	12496.0	13464.1	12548.3	13047.6	10335.1	10529.5	10284.5	10701.7	10892.4	12997.9	13165.1	12857.9
Gpd2	585.72925	312.39375	298.555	285.59375	650.079	489.97	534.50175	536.046	1265.2685	1025.953	1052.8355	912.0335	1520.403	1405.6605	1466.8545	1359.409
Fau	26543.2	23697.3	24046.1	26139.7	25357.9	23193.6	22443.4	24954.6	21572.1	21749.0	22348.3	21523.0	22627.8	19309.6	18723.3	18240.8
Ifitm2	16710.9	13311.2	16343.5	14696.4	10083.9	7652.72	10384.6	9899.68	10793.4	14345.6	15332.9	15752.9	11915.7	7954.27	7874.55	7187.05
Apobec3	526.037	172.566	209.655	224.545	1632.72	1158.24	1202.47	1065.56	1065.46	650.116	1025.17	779.946	1461.17	1093.83	1103.17	979.074
Myh9	1744.523875	1487.17895	1458.381375	1447.538825	1616.45515	1652.613525	1557.874225	1429.87225	1772.478075	1618.515275	1532.317375	1555.14265	1719.267825	1771.15825	1539.98825	1616.5877
Ppp2r3c	398.85142	364.550585	338.73449	380.431615	427.89911	438.22427	461.854495	467.7507	407.74487	430.67858	421.46672	404.98684	366.15451	394.6157	410.449325	428.164015
Fbxo9	413.6145	607.6	679.396	669.242	450.6655	489.609	519.843	644.9105	505.747	533.7955	481.8105	501.1055	429.559	371.738	283.7405	285.3485
Bmi1	1832.845	1374.9315	1416.27	1523.345	1978.445	1615.305	1688.055	1644.475	3620.76	2038.225	2311.375	2370.51	2794.375	1995.985	2161.055	2090.04
Timm10	2025.39	1817.88	1773.43	1818.66	1907.24	2005.48	1844.96	2071.96	1702.72	2353.89	2025.77	2104.21	1321.48	2600.01	2542.9	3023.54
Tgm2	2280.825035	1833.44266875	2722.82873125	2359.7135125	11188.4317875	10591.5334813	11282.984175	11944.8660125	6918.90365625	6284.16914375	6069.941125	5411.264275	18417.85975	18215.7790375	19152.625875	17177.8949375
Gm10681 	28.7002	2.89367	35.798	19.8148	3.34998	32.8365	3.84587	36.9268	20.8007	4.06316	2.9882	1.22125	3.22283	13.9177	8.98598	4.06692
Fyn	961.6655	672.4255	739.8525	564.476	1161.1795	1389.535	1466.91	1342.285	235.9635	255.819	253.169	227.7675	474.1375	622.6435	561.415	523.3785
Sfxn1	700.4415	898.671	804.049	879.8045	591.622	785.9785	738.0355	729.7805	283.651	606.387	566.975	659.967	224.4715	463.6535	510.5115	578.368
Mpg	112.45035	203.23425	184.3305	160.92475	155.69235	155.93665	204.09845	146.744	86.75225	87.2355	121.930875	120.6964	67.944315	106.78945	115.432525	85.22405
Cxcl12	15.771945	340.16504	135.960885	114.105335	42.131315	149.9127225	76.8062725	57.96911	11.4690275	78.6194025	32.98055	36.7254425	26.383785	35.6724225	16.3595875	25.2025475
